Rating Std
10 258000
15 274000
20 290000
25 306000
30 322000
35 338000
40 354000
45 370000
50 386000
55 402000
60 418000
65 434000
70 450000
75 466000
80 482000
85 498000
90 514000
95 530000
100 546000
105 562000
110 578000
115 594000
120 610000
125 626000
130 642000
135 658000
140 674000
145 690000
150 706000
155 722000
160 738000
165 754000
170 770000
175 786000
180 802000
185 818000
190 834000
195 850000
200 866000
205 882000
210 898000
215 914000
220 930000
225 946000
230 962000
235 978000
240 994000
245 1010000
250 1026000
255 1042000
260 1058000
265 1074000
270 1090000
275 1106000
280 1122000
285 1138000
290 1154000
295 1170000
300 1186000
305 1202000
310 1218000
315 1234000
320 1250000
325 1266000
330 1282000
335 1298000
340 1314000
345 1346000
350 1378000
355 1410000
360 1442000
365 1474000
370 1506000
375 1538000
380 1570000
385 1602000
390 1634000
395 1666000
400 1698000
